epoch,train_loss,train_acc,val_loss,val_acc
1,0.517942294999957,75.78125,0.37557621896266935,84.375
2,0.25707712702453134,89.8125,0.3104002760350704,86.625
3,0.1274169917218387,96.15625,0.280596988722682,89.5
4,0.06648560224100947,98.46875,0.30310942851006983,87.5
5,0.045833004883024844,98.78125,0.2885555553436279,88.0
6,0.035937985337805005,99.28125,0.3633447127044201,85.75
7,0.026729557804064826,99.5,0.3225457976385951,87.75
8,0.028419532004045324,99.46875,0.31056878063827753,88.5
9,0.02828771764645353,99.25,0.3664473194628954,87.125
10,0.025057881105458365,99.34375,0.3877716097980738,86.875
