epoch,train_loss,train_acc,val_loss,val_acc
1,0.6265960378944874,65.5625,0.611228614449501,64.875
2,0.5793472445011139,69.875,0.5867430728673935,67.125
3,0.5528025403618813,71.0,0.5282836228609085,72.125
4,0.5308151669800282,73.5625,0.5468851831555367,72.5
5,0.5101419188082218,74.5625,0.5006511059403419,73.75
6,0.49841235801577566,75.21875,0.4838549488782883,75.875
7,0.48572036787867545,75.65625,0.4773094242811203,74.375
8,0.4661280348151922,76.75,0.5304787349700928,71.625
9,0.46754788495600225,77.59375,0.4990339717268944,73.125
10,0.4546231085062027,78.875,0.5460788482427597,71.25
11,0.43616963617503646,79.375,0.4708658799529076,76.0
12,0.4346972570568323,79.34375,0.47849790424108507,76.25
13,0.4157926247268915,81.125,0.44770852982997894,78.75
14,0.41111485980451107,80.25,0.4575654165446758,79.375
15,0.39389991216361525,81.8125,0.49531962454319,77.125
16,0.3933190931379795,82.0625,0.5244203098118305,76.375
17,0.36438591554760935,83.75,0.5099813207983971,74.875
18,0.35300812907516954,84.0625,0.6185534358024597,72.625
19,0.3446623189002275,84.4375,0.7121705156564713,69.875
20,0.3572328897565603,84.3125,0.48550304740667344,78.25
