epoch,train_loss,train_acc,val_loss,val_acc
1,0.600776272714138,69.40625,0.48584364235401156,81.75
2,0.40567516416311267,85.1875,0.33843857795000076,88.0
3,0.2940795325487852,89.8125,0.2640208062529564,88.875
4,0.24094431690871715,91.09375,0.23176805377006532,89.875
5,0.2035451915115118,92.625,0.20775879748165607,91.125
6,0.18572417479008435,93.46875,0.1996102500706911,91.5
7,0.16600370445288717,93.71875,0.19067575640976428,91.875
8,0.15348318865522742,94.40625,0.178210506439209,92.5
9,0.14491860264912249,94.59375,0.17159443389624357,92.125
10,0.1287100304942578,95.5625,0.16911720737814903,92.0
11,0.12180022649466991,95.78125,0.1696890738978982,92.625
12,0.11304359361063689,95.9375,0.1660743547230959,92.375
13,0.10883216682821512,95.9375,0.16664028767496347,92.875
14,0.1012430649669841,96.34375,0.1615423352830112,93.0
15,0.09271959652425721,96.75,0.16128883535042404,93.25
16,0.08809560130815954,97.15625,0.16528110479936003,93.25
17,0.08104154782835395,97.40625,0.1663395064137876,93.125
18,0.07487258071545512,97.875,0.16322607275098563,93.5
19,0.07139800360659138,97.75,0.159597016107291,94.125
20,0.06844058660790324,97.84375,0.16345623252913355,93.75
