epoch,stage1_train_loss,stage1_val_loss,stage2_train_loss,stage2_val_loss,stage3_train_loss,stage3_val_loss
1,0.2562342794239521,0.12657140105962753,0.349875405728817,0.3034105491638184,0.49446906358003617,0.5320022058486938
2,0.3382988138496876,0.12536851525306703,0.3493266752362251,0.2842011272907257,0.328445370644331,0.5451978814601898
3,0.2849287497997284,0.10146236926317215,0.34336598932743073,0.2723397183418274,0.36532568246126174,0.2697382164001465
4,0.20521073810756207,0.08233366578817368,0.3562252387404442,0.30139102339744567,0.32263077795505524,0.3791672194004059
5,0.1967638111114502,0.06924256190657616,0.322355348020792,0.24027662277221679,0.3907280650734901,0.47197784304618834
6,0.2232739508152008,0.06428427636623382,0.31266847789287566,0.22640460908412932,0.37195829160511495,0.6632742428779602
7,0.21318136319518088,0.05618594363331795,0.31086294338107107,0.2599659889936447,0.32118737779557704,0.6574068713188171
8,0.25025195129215716,0.055721541345119474,0.2864756380021572,0.2149377715587616,0.367610045298934,1.1856681728363037
9,0.3346999824047089,0.05535895213484764,0.2915097975730896,0.25396038353443146,0.346858554109931,0.7574992275238037
10,0.2962192888557911,0.05981510311365128,0.26750053972005844,0.21029723942279815,0.40110680416226385,1.4398369646072389
11,0.4601632548123598,0.059519831538200375,0.28923361137509346,0.25325235426425935,0.3594573391228914,0.8863289213180542
12,0.3636653799563646,0.0664191772043705,0.25396171599626544,0.20829660356044769,0.43013915300369265,1.4859749317169189
13,0.48794523157179354,0.06562886521220207,0.275123466104269,0.2460434067249298,0.4784677704423666,0.8719100451469421
14,0.35963804021477697,0.06472562327980995,0.24953636139631272,0.1992460823059082,0.43901918224990366,1.6560091733932496
15,0.5808256570994854,0.06727495849132538,0.2597296470403671,0.2394616734981537,0.4253918865323067,0.8261495351791381
16,0.353151069059968,0.06914901077747344,0.24443513989448548,0.1968434590101242,0.5573170080780983,1.7157221794128419
17,0.6606748129427433,0.07228504866361618,0.24519015952944756,0.2279158979654312,0.4724229472875595,0.8176948213577271
18,0.3308229686319828,0.07080733075737954,0.23362724602222443,0.18957263886928558,0.7029942575097085,1.7109431266784667
19,0.6230925481766463,0.07234100565314293,0.24042024597525596,0.21718499481678008,0.5934941322356463,0.9873405933380127
20,0.4541368645429611,0.08392933383584023,0.2148105275630951,0.17830272436141967,0.6328240622580051,1.6780167627334595
