epoch,train_loss,train_acc,val_loss,val_acc
1,0.5154641798138618,76.03125,0.37109574884176255,84.375
2,0.27380791496485474,89.375,0.32733935296535493,85.75
3,0.13165821539238096,96.0,0.3178899711370468,86.25
4,0.07311329303774983,98.375,0.34139569006860254,86.75
5,0.04972946479218081,98.90625,0.33002848252654077,87.625
6,0.035383138605393466,99.40625,0.33581594191491604,87.5
7,0.029167143882950768,99.40625,0.3974165368080139,84.625
8,0.031276070062303915,99.15625,0.351675778478384,86.375
9,0.025951759985182433,99.46875,0.35539468213915826,86.375
10,0.0241267058160156,99.375,0.401514288559556,86.125
