epoch,train_loss,train_acc,val_loss,val_acc
1,0.5568331913650035,71.15625,0.5454928994178772,72.75
2,0.5189806944131852,73.9375,0.514201220870018,73.5
3,0.5009224324673415,74.6875,0.50549331843853,76.0
4,0.48035577282309533,76.59375,0.4624028658866882,77.625
5,0.44943128049373626,78.3125,0.45536832630634305,77.75
6,0.44535910673439505,78.625,0.4421400421857834,78.0
7,0.43405789114534854,79.90625,0.45924062460660936,78.625
8,0.4161205480247736,80.46875,0.45729821413755417,77.125
9,0.4127745495736599,81.125,0.5051572090387344,74.375
10,0.3953626910969615,81.90625,0.5471118405461312,72.25
11,0.3910849853605032,81.96875,0.48697628200054166,77.25
12,0.38680433385074137,81.65625,0.42749099135398866,80.25
13,0.3689666252583265,83.84375,0.4929842990636826,77.25
14,0.38903674341738226,81.96875,0.46691869020462035,78.0
15,0.35893014252185823,84.375,0.49568559885025026,77.5
16,0.3592565555870533,83.21875,0.4294338062405586,80.25
17,0.34038857083767654,84.53125,0.43390201285481456,79.875
18,0.3302467127516866,85.25,0.45405828565359113,79.375
19,0.3305009127035737,85.5625,0.5137706747651101,76.625
20,0.34092418763786553,85.09375,0.47649601846933365,77.0
