epoch,train_loss,train_acc,val_loss,val_acc
1,0.22949273694306613,93.625,0.05677872696891427,98.375
2,0.04871748144505546,98.8125,0.02139535192400217,99.375
3,0.022660720577696337,99.65625,0.022303893236676232,99.375
4,0.012318986244499683,99.875,0.007635689817834646,99.75
5,0.005884589696361218,99.9375,0.004296177874784916,100.0
6,0.004735693485708907,99.96875,0.004663236195337959,99.875
7,0.002892493765175459,99.96875,0.0033060062275035306,100.0
8,0.002803190364866168,99.96875,0.0032082377263577657,100.0
9,0.001785150318828528,100.0,0.0031205769296502694,100.0
10,0.0015384404833093867,100.0,0.002242430283804424,100.0
