epoch,stage1_train_loss,stage1_val_loss,stage2_train_loss,stage2_val_loss,stage3_train_loss,stage3_val_loss
1,0.3049703785777092,0.11593134135007858,0.351858117878437,0.30837259769439695,0.5137240064144134,0.5294637370109558
2,0.3575345841050148,0.11864043295383453,0.371159006357193,0.33759174108505247,0.35908141016960143,0.4335603845119476
3,0.2734250846505165,0.08892860889434814,0.3513126876950264,0.2865263891220093,0.44132682889699937,0.33149763107299807
4,0.22707130014896393,0.06913360774517059,0.35210342705249786,0.2679680562019348,0.3904566345363855,0.5585476112365723
5,0.247066492959857,0.06309925749897957,0.32223271325230596,0.2456195628643036,0.40069437578320505,0.3133989083766937
6,0.1882644893974066,0.05246612817049026,0.3071000258624554,0.22309390366077422,0.43504281863570216,0.9504903697967529
7,0.28891261778771876,0.049361711144447325,0.28592653647065164,0.23036646068096162,0.39924857281148435,0.7313189816474914
8,0.2635623109340668,0.049095216542482376,0.26898513481020925,0.2085614585876465,0.5325262697041034,1.2666174364089966
9,0.3861798896640539,0.05381954327225685,0.2710123533010483,0.22757280647754669,0.4833338703215122,0.9506272292137146
10,0.35415153607726096,0.06145463764667511,0.258836272507906,0.2049504405260086,0.5206653662025928,1.4390956306457519
11,0.5109095947444439,0.0668616758286953,0.2845130178332329,0.2452250438928604,0.3655335855484009,1.0701486086845398
12,0.4273736684024334,0.07511059477925301,0.24473208844661712,0.19623278677463532,0.5472047168761491,1.486095380783081
13,0.5427942535281182,0.08445696771144867,0.2721850049495697,0.24085472226142884,0.39728171229362486,1.0739190936088563
14,0.41846384316682816,0.09328593343496322,0.2351839178800583,0.18797092795372009,0.671593365073204,1.6335129499435426
15,0.6571135348081589,0.0976625607907772,0.25917405590415,0.23085951805114746,0.6238130027800799,1.0568351244926453
16,0.391103445366025,0.10377895310521126,0.23301807627081872,0.18477257907390596,0.5552779620885849,1.6607563447952272
17,0.7069338561594486,0.10653776913881302,0.25762742400169375,0.22724719166755677,0.45632713839411737,1.2078021025657655
18,0.4576996789127588,0.1079037357866764,0.23742843002080918,0.18867499113082886,0.5368621110916137,1.716590371131897
19,0.7425430433452129,0.11456183552742004,0.24500564977526665,0.2137741208076477,0.6641384518891573,1.358430871963501
20,0.5282007578760386,0.11057958841323852,0.22351739391684533,0.18214278399944306,0.9521650825440884,1.5799891948699951
