epoch,stage1_train_loss,stage1_val_loss,stage2_train_loss,stage2_val_loss,stage3_train_loss,stage3_val_loss
1,0.2980575205385685,0.13386983364820482,0.3489482882618904,0.303654659986496,0.5066858649253845,0.5192595756053925
2,0.35457710921764374,0.13165525555610658,0.3599867385625839,0.312622252702713,0.3415025034546852,0.515713576078415
3,0.29502377718687056,0.10400138646364213,0.34919212728738785,0.28356109857559203,0.39618398919701575,0.2601426756381989
4,0.20639671459794046,0.07773858845233918,0.36223442137241363,0.30873897910118103,0.32600407406687737,0.4378015577793121
5,0.2212379539757967,0.06864190950989724,0.34228361278772357,0.27053467750549315,0.28015499547123907,0.302154700756073
6,0.2102176099270582,0.0648835551738739,0.34609922021627426,0.27833008885383603,0.34974844664335253,0.4285047709941864
7,0.20653688095510006,0.058392526656389235,0.3211122514307499,0.2540473598241806,0.2516750544309616,0.466845908164978
8,0.24164291702210902,0.057932362407445905,0.2765462650358677,0.15880013287067413,0.47618035055696967,1.0312348198890686
9,0.28940806664526464,0.057420973777770994,0.3088061548769474,0.26720684885978696,0.32691151067614554,0.4467655575275421
10,0.22103595435619355,0.059378742575645446,0.2560837195813656,0.16305063545703888,0.46326468408107757,1.6292291975021362
11,0.49685924157500266,0.060886801779270174,0.27088032647967336,0.23693329572677613,0.3623980478942394,0.5264920806884765
12,0.24316522561013698,0.06786274686455726,0.23644714385271073,0.16707041263580322,0.44623696893453596,1.7044569730758667
13,0.5012280675023795,0.06892082378268242,0.27196214750409126,0.24105623245239258,0.3767437391728163,0.6543339490890503
14,0.3201569289714098,0.0763249097764492,0.20900727987289427,0.14864438593387605,0.4801873158663511,1.8758870840072632
15,0.6203575818240643,0.07509456247091294,0.27178718626499176,0.24695382595062257,0.30048691369593145,0.611261066198349
16,0.30272066362202166,0.07996690213680267,0.20237721502780914,0.14752285361289977,0.4596164158731699,1.9473786067962646
17,0.6641951162368059,0.08182000070810318,0.2659117762744427,0.24447022318840028,0.32995571807026863,0.5987412536144257
18,0.29380436256527903,0.0916890087723732,0.20111874848604203,0.14575219452381133,0.6594599390029907,2.115087103843689
19,0.9163477858901024,0.08489294677972793,0.25112770169973375,0.23139500260353088,0.4582728819549084,0.5893379485607148
20,0.2848694991320372,0.08867283895611763,0.18121685922145844,0.1356392475962639,0.6313507650792599,1.9277507734298707
