epoch,train_loss,train_acc,val_loss,val_acc
1,0.5802545005083084,72.34375,0.3261453566642908,91.5
2,0.313260643184185,92.53125,0.2743544446734282,90.5
3,0.19855732455849648,95.15625,0.2583365928954803,91.875
4,0.12577170588076114,97.125,0.25313775270031047,91.875
5,0.09502409137785435,97.90625,0.2505381300758857,92.625
6,0.076020622625947,98.375,0.2751093727106658,92.875
7,0.07824657225981355,97.71875,0.23443737339514953,93.375
8,0.050799564216285946,98.90625,0.2987342456427331,92.875
9,0.04538681680336595,99.0,0.30998505648368824,92.875
10,0.056674664430320265,98.375,0.3504181374580814,92.5
11,0.05058727410621941,98.46875,0.21817136108158872,94.75
12,0.044346982948482036,98.5,0.20165667437518445,93.875
13,0.05124328232370317,98.28125,0.18637039308221295,95.25
14,0.04008754822425544,98.78125,0.2391193470953462,93.875
15,0.03906302724033594,99.0,0.23686734977393195,93.875
16,0.03768217714503407,98.90625,0.2123390078687897,94.0
17,0.04055366652086377,98.8125,0.21629398563303626,94.5
18,0.0344685048982501,98.96875,0.21833326814409632,94.625
19,0.03967574470676482,98.78125,0.21131815424618813,94.75
20,0.040437506816815585,98.625,0.18401193299975532,95.0
